league,vis_team,home_team,inning,bat_team,batting_team,pitching_team,outs,balls,strikes,vis_score,home_score,batter,bat_hand,pitcher,pitch_hand,catcher,run_on_1st,run_on_2nd,run_on_3rd,is_leadoff,def_pos,lineup_pos,event_type,is_batter_event,is_at_bat,hit_value,is_sac_hit,is_sac_fly,outs_made,batted_ball_type,bat_dest,run_1st_dest,run_2nd_dest,run_3rd_dest,runs_on_play,is_new_game,is_game_end
AL,HOU,ANA,4,1,ANA,HOU,0,2,2,4,1,renda001,R,garcl007,R,maldm001,,,,F,5,4,20,T,T,1,F,F,0,L,1,0,0,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,0,2,2,4,1,uptoj001,R,garcl007,R,maldm001,renda001,,,F,7,5,20,T,T,1,F,F,0,F,1,2,0,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,0,1,1,4,1,pujoa001,R,garcl007,R,maldm001,uptoj001,renda001,,F,10,6,2,T,T,0,F,F,1,P,0,1,2,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,1,0,1,4,1,iglej001,R,garcl007,R,maldm001,uptoj001,renda001,,F,6,7,20,T,T,1,F,F,0,L,1,2,4,0,1,F,F
AL,HOU,ANA,4,1,ANA,HOU,1,3,0,4,2,suzuk001,R,garcl007,R,maldm001,iglej001,uptoj001,,F,2,8,14,T,F,0,F,F,0,,1,2,3,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,1,0,2,4,2,fowld001,L,stanr002,R,maldm001,suzuk001,iglej001,uptoj001,F,9,9,3,T,T,0,F,F,1,,0,1,2,3,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,2,1,2,4,2,fletd002,R,stanr002,R,maldm001,suzuk001,iglej001,uptoj001,F,4,1,2,T,T,0,F,F,1,L,0,1,2,3,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,0,1,2,4,2,corrc001,R,rodrc002,R,suzuk001,,,,T,6,5,21,T,T,2,F,F,0,L,2,0,0,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,0,1,2,4,2,tuckk001,L,rodrc002,R,suzuk001,,corrc001,,F,9,6,3,T,T,0,F,F,1,,0,0,2,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,1,2,1,4,2,diaza003,R,rodrc002,R,suzuk001,,corrc001,,F,7,7,2,T,T,0,F,F,1,G,0,0,2,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,2,2,1,4,2,stram002,R,rodrc002,R,suzuk001,,corrc001,,F,8,8,2,T,T,0,F,F,1,G,0,0,2,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,0,1,2,4,2,walsj001,L,raleb001,L,maldm001,,,,T,3,2,20,T,T,1,F,F,0,L,1,0,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,0,3,2,4,2,troum001,R,raleb001,L,maldm001,walsj001,,,F,8,3,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,1,3,2,4,2,renda001,R,raleb001,L,maldm001,walsj001,,,F,5,4,14,T,F,0,F,F,0,,1,2,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,1,1,2,4,2,uptoj001,R,raleb001,L,maldm001,renda001,walsj001,,F,7,5,20,T,T,1,F,F,0,F,1,2,4,0,1,F,F
AL,HOU,ANA,5,1,ANA,HOU,1,1,1,4,3,pujoa001,R,raleb001,L,maldm001,uptoj001,renda001,,F,10,6,2,T,T,0,F,F,1,L,0,1,2,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,2,1,2,4,3,iglej001,R,raleb001,L,maldm001,uptoj001,renda001,,F,6,7,2,T,T,0,F,F,1,L,0,1,2,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,0,3,2,4,3,maldm001,R,rodrc002,R,suzuk001,,,,T,2,9,14,T,F,0,F,F,0,,1,0,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,0,0,2,4,3,altuj001,R,rodrc002,R,suzuk001,maldm001,,,F,4,1,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,1,0,0,4,3,gurry001,R,rodrc002,R,suzuk001,maldm001,,,F,3,2,2,T,T,0,F,F,1,F,0,1,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,2,0,0,4,3,brega001,R,rodrc002,R,suzuk001,maldm001,,,F,5,3,20,T,T,1,F,F,0,G,1,2,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,2,1,0,4,3,alvay001,L,rodrc002,R,suzuk001,brega001,maldm001,,F,10,4,20,T,T,1,F,F,0,L,1,3,4,0,1,F,F
AL,HOU,ANA,6,0,HOU,ANA,2,0,0,5,3,corrc001,R,rodrc002,R,suzuk001,alvay001,,brega001,F,6,5,2,T,T,0,F,F,1,G,1,0,0,3,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,0,3,2,5,3,suzuk001,R,abreb002,R,maldm001,,,,T,2,8,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,1,0,0,5,3,fowld001,L,abreb002,R,maldm001,,,,F,9,9,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,2,3,2,5,3,fletd002,R,abreb002,R,maldm001,,,,F,4,1,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,0,2,0,5,3,tuckk001,L,claua001,L,suzuk001,,,,T,9,6,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,1,3,1,5,3,diaza003,R,claua001,L,suzuk001,,,,F,7,7,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,2,1,2,5,3,stram002,R,claua001,L,suzuk001,,,,F,8,8,20,T,T,1,F,F,0,G,1,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,2,1,0,5,3,maldm001,R,cishs001,R,suzuk001,stram002,,,F,2,9,11,F,F,0,F,F,0,,0,2,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,2,2,2,5,3,maldm001,R,cishs001,R,suzuk001,,stram002,,F,2,9,2,T,T,0,F,F,1,G,0,0,2,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,0,3,2,5,3,walsj001,L,abreb002,R,maldm001,,,,T,3,2,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,1,2,0,5,3,troum001,R,abreb002,R,maldm001,,,,F,8,3,20,T,T,1,F,F,0,L,1,0,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,1,3,2,5,3,renda001,R,abreb002,R,maldm001,troum001,,,F,5,4,2,T,T,0,F,F,1,P,0,1,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,2,3,2,5,3,uptoj001,R,abreb002,R,maldm001,troum001,,,F,7,5,2,T,T,0,F,F,1,G,0,1,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,0,0,2,5,3,altuj001,R,cishs001,R,suzuk001,,,,T,4,1,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,1,2,2,5,3,gurry001,R,cishs001,R,suzuk001,,,,F,3,2,20,T,T,1,F,F,0,L,1,0,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,1,3,2,5,3,brega001,R,cishs001,R,suzuk001,gurry001,,,F,5,3,2,T,T,0,F,F,1,G,0,2,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,2,2,1,5,3,alvay001,L,watst001,L,suzuk001,,gurry001,,F,10,4,2,T,T,0,F,F,1,G,0,0,2,0,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,2,2,5,3,pujoa001,R,smitj002,R,maldm001,,,,T,10,6,20,T,T,1,F,F,0,L,1,0,0,0,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,0,1,5,3,iglej001,R,smitj002,R,maldm001,pujoa001,,,F,6,7,20,T,T,1,F,F,0,L,1,2,0,0,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,0,1,5,3,ohtas001,L,smitj002,R,maldm001,iglej001,pujoa001,,F,11,8,16,T,F,0,F,F,0,,1,2,3,0,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,0,1,5,3,fowld001,R,taylb004,L,maldm001,ohtas001,iglej001,pujoa001,F,9,9,20,T,T,1,F,F,0,G,1,2,3,4,1,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,0,1,5,4,fletd002,R,taylb004,L,maldm001,fowld001,ohtas001,iglej001,F,4,1,2,T,T,0,F,F,1,G,1,0,3,4,1,F,F
AL,HOU,ANA,8,1,ANA,HOU,1,1,2,5,5,walsj001,L,taylb004,L,maldm001,fletd002,,ohtas001,F,3,2,19,T,T,0,F,F,0,G,2,3,0,4,1,F,F
AL,HOU,ANA,8,1,ANA,HOU,1,3,0,5,6,troum001,R,taylb004,L,maldm001,,walsj001,fletd002,F,8,3,15,T,F,0,F,F,0,,1,0,2,3,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,1,0,0,5,6,renda001,R,taylb004,L,maldm001,troum001,walsj001,fletd002,F,5,4,2,T,F,0,F,T,1,F,0,1,2,5,1,F,F
AL,HOU,ANA,8,1,ANA,HOU,2,1,1,5,7,uptoj001,R,taylb004,L,maldm001,troum001,walsj001,,F,7,5,2,T,T,0,F,F,1,F,0,1,2,0,0,F,F
AL,HOU,ANA,9,0,HOU,ANA,0,3,2,5,7,corrc001,R,mayem001,R,stasm001,,,,T,6,5,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,9,0,HOU,ANA,1,2,2,5,7,tuckk001,L,mayem001,R,stasm001,,,,F,9,6,23,T,T,4,F,F,0,F,4,0,0,0,1,F,F
AL,HOU,ANA,9,0,HOU,ANA,1,1,2,6,7,mccoc001,R,mayem001,R,stasm001,,,,F,7,7,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,9,0,HOU,ANA,2,2,2,6,7,garcr005,L,mayem001,R,stasm001,,,,F,11,8,2,T,T,0,F,F,1,P,0,0,0,0,0,F,T
AL,HOU,ANA,1,0,HOU,ANA,0,0,2,0,0,altuj001,R,bundd001,R,stasm001,,,,T,4,1,3,T,T,0,F,F,1,,0,0,0,0,0,T,F
AL,HOU,ANA,1,0,HOU,ANA,1,2,2,0,0,gurry001,R,bundd001,R,stasm001,,,,F,3,2,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,1,0,HOU,ANA,2,0,2,0,0,brega001,R,bundd001,R,stasm001,,,,F,5,3,18,T,T,0,F,F,0,G,2,0,0,0,0,F,F
AL,HOU,ANA,1,0,HOU,ANA,2,1,2,0,0,alvay001,L,bundd001,R,stasm001,,brega001,,F,10,4,3,T,T,0,F,F,1,,0,0,2,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,0,0,1,0,0,fletd002,R,greiz001,R,maldm001,,,,T,4,1,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,1,2,2,0,0,ohtas001,L,greiz001,R,maldm001,,,,F,10,2,20,T,T,1,F,F,0,G,1,0,0,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,1,1,2,0,0,troum001,R,greiz001,R,maldm001,ohtas001,,,F,8,3,4,F,F,0,F,F,0,,0,2,0,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,1,2,2,0,0,troum001,R,greiz001,R,maldm001,,ohtas001,,F,8,3,23,T,T,4,F,F,0,F,4,0,4,0,2,F,F
AL,HOU,ANA,1,1,ANA,HOU,1,1,1,0,2,pujoa001,R,greiz001,R,maldm001,,,,F,3,4,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
