league,vis_team,home_team,inning,bat_team,batting_team,pitching_team,outs,balls,strikes,vis_score,home_score,batter,bat_hand,pitcher,pitch_hand,catcher,run_on_1st,run_on_2nd,run_on_3rd,is_leadoff,def_pos,lineup_pos,event_type,is_batter_event,is_at_bat,hit_value,is_sac_hit,is_sac_fly,outs_made,batted_ball_type,bat_dest,run_1st_dest,run_2nd_dest,run_3rd_dest,runs_on_play,is_new_game,is_game_end
AL,HOU,ANA,2,1,ANA,HOU,2,1,1,2,2,fletd002,R,greiz001,R,maldm001,,iglej001,,F,4,1,2,T,T,0,F,F,1,G,0,0,2,0,0,F,F
AL,HOU,ANA,3,0,HOU,ANA,0,1,2,2,2,altuj001,R,bundd001,R,stasm001,,,,T,4,1,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,3,0,HOU,ANA,1,2,2,2,2,gurry001,R,bundd001,R,stasm001,,,,F,3,2,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,3,0,HOU,ANA,2,3,2,2,2,brega001,R,bundd001,R,stasm001,,,,F,5,3,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,3,1,ANA,HOU,0,0,1,2,2,ohtas001,L,greiz001,R,maldm001,,,,T,10,2,2,T,T,0,F,F,1,L,0,0,0,0,0,F,F
AL,HOU,ANA,3,1,ANA,HOU,1,0,0,2,2,troum001,R,greiz001,R,maldm001,,,,F,8,3,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,3,1,ANA,HOU,2,2,2,2,2,pujoa001,R,greiz001,R,maldm001,,,,F,3,4,2,T,T,0,F,F,1,L,0,0,0,0,0,F,F
AL,HOU,ANA,4,0,HOU,ANA,0,2,2,2,2,alvay001,L,bundd001,R,stasm001,,,,T,10,4,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,4,0,HOU,ANA,1,3,2,2,2,corrc001,R,bundd001,R,stasm001,,,,F,6,5,14,T,F,0,F,F,0,,1,0,0,0,0,F,F
AL,HOU,ANA,4,0,HOU,ANA,1,0,0,2,2,tuckk001,L,bundd001,R,stasm001,corrc001,,,F,9,6,2,T,T,0,F,F,1,F,0,1,0,0,0,F,F
AL,HOU,ANA,4,0,HOU,ANA,2,1,2,2,2,diaza003,R,bundd001,R,stasm001,corrc001,,,F,7,7,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,0,2,1,2,2,walsj001,L,greiz001,R,maldm001,,,,T,9,5,2,T,T,0,F,F,1,P,0,0,0,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,1,0,1,2,2,uptoj001,R,greiz001,R,maldm001,,,,F,7,6,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,4,1,ANA,HOU,2,0,0,2,2,rojaj002,L,greiz001,R,maldm001,,,,F,5,7,2,T,T,0,F,F,1,P,0,0,0,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,0,3,1,2,2,stram002,R,bundd001,R,stasm001,,,,T,8,8,14,T,F,0,F,F,0,,1,0,0,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,0,1,2,2,2,maldm001,R,bundd001,R,stasm001,stram002,,,F,2,9,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,HOU,ANA,5,0,HOU,ANA,1,0,0,2,2,altuj001,R,bundd001,R,stasm001,stram002,,,F,4,1,2,T,T,0,F,F,2,G,0,0,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,0,2,2,2,2,stasm001,R,greiz001,R,maldm001,,,,T,2,8,20,T,T,1,F,F,0,G,1,0,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,0,3,2,2,2,iglej001,R,greiz001,R,maldm001,stasm001,,,F,6,9,3,T,T,0,F,F,1,,0,1,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,1,0,1,2,2,fletd002,R,greiz001,R,maldm001,stasm001,,,F,4,1,2,T,T,0,F,F,1,F,0,1,0,0,0,F,F
AL,HOU,ANA,5,1,ANA,HOU,2,2,2,2,2,ohtas001,L,greiz001,R,maldm001,stasm001,,,F,10,2,2,T,T,0,F,F,1,G,0,1,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,0,2,2,2,2,gurry001,R,bundd001,R,stasm001,,,,T,3,2,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,1,1,2,2,2,brega001,R,bundd001,R,stasm001,,,,F,5,3,20,T,T,1,F,F,0,F,1,0,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,1,0,2,2,2,alvay001,L,bundd001,R,stasm001,brega001,,,F,10,4,21,T,T,2,F,F,0,G,2,3,0,0,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,1,0,2,2,2,corrc001,R,bundd001,R,stasm001,,alvay001,brega001,F,6,5,2,T,T,0,F,F,1,P,0,0,2,3,0,F,F
AL,HOU,ANA,6,0,HOU,ANA,2,0,2,2,2,tuckk001,L,bundd001,R,stasm001,,alvay001,brega001,F,9,6,3,T,T,0,F,F,1,,0,0,2,3,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,0,2,2,2,2,troum001,R,greiz001,R,maldm001,,,,T,8,3,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,1,0,1,2,2,pujoa001,R,greiz001,R,maldm001,,,,F,3,4,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,6,1,ANA,HOU,2,0,2,2,2,walsj001,L,greiz001,R,maldm001,,,,F,9,5,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,0,0,0,2,2,diaza003,R,slega001,R,stasm001,,,,T,7,7,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,1,1,2,2,2,stram002,R,slega001,R,stasm001,,,,F,8,8,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,7,0,HOU,ANA,2,2,2,2,2,maldm001,R,slega001,R,stasm001,,,,F,2,9,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,0,3,2,2,2,uptoj001,R,greiz001,R,maldm001,,,,T,7,6,2,T,T,0,F,F,1,P,0,0,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,1,3,2,2,2,rojaj002,L,greiz001,R,maldm001,,,,F,5,7,14,T,F,0,F,F,0,,1,0,0,0,0,F,F
AL,HOU,ANA,7,1,ANA,HOU,1,2,0,2,2,stasm001,R,greiz001,R,maldm001,rojaj002,,,F,2,8,2,T,T,0,F,F,2,G,0,0,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,0,2,2,2,2,altuj001,R,mayem001,R,stasm001,,,,T,4,1,2,T,T,0,F,F,1,G,0,0,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,1,1,2,2,2,gurry001,R,mayem001,R,stasm001,,,,F,3,2,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,8,0,HOU,ANA,2,1,0,2,2,brega001,R,mayem001,R,stasm001,,,,F,5,3,2,T,T,0,F,F,1,L,0,0,0,0,0,F,F
AL,HOU,ANA,8,1,ANA,HOU,0,3,2,2,2,iglej001,R,presr001,R,maldm001,,,,T,6,9,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
